PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
4,2022,32,4,8,4,5,128,4500,2160,5,25,68,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
1,2021,5,2,4,3,5,64,5000,0,3,15,0,1,2,1,0,PLS IPS Touchscreen,0,MediaTek Helio P35 (12nm),"Octa core, up to 2.35 GHz",PowerVR GE8320,1,1
3,2021,32,4,8,4,5,128,4500,2160,5,25,67,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 778G 5G (6 nm),"Octa core, up to 2.4 GHz",Adreno 642L,1,1
1,2021,13,2,6,3,5,128,6000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
4,2021,4,3,12,4,5.2,256,4400,2160,6,25,30,1,3.2,1,1,Foldable Dynamic AMOLED 2X Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
4,2021,10,7,8,4,5.1,128,3300,2160,6,15,30,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
1,2021,20,2,6,3,5,128,6000,1080,5,25,0,1,2,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1,2021,13,4,6,3,5,128,5000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
2,2021,32,3,8,3,5,128,7000,2160,5,25,0,1,2,1,1,Super AMOLED Touchscreen,1,Exynos 9825 (7 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1,2021,8,3,6,3,5,128,6000,1080,3,15,0,1,2,1,0,PLS IPS Touchscreen,0,Exynos 850 (8nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
3,2021,32,4,8,3,5,256,5000,2160,5,25,67,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
2,2021,32,4,8,3,5,128,4500,2160,5,25,67,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
2,2021,20,4,6,3,5,128,5000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
0,2021,5,4,3,3,5,32,5000,0,2,0,0,1,2,0,0,PLS IPS Touchscreen,0,Mediatek MT6739W (28 nm),"Quad-core, 1.5 GHz",PowerVR GE8100,0,1
1,2020,8,4,6,3,5,32,5000,1080,3,15,0,1,2,1,0,PLS IPS Touchscreen,0,Mediatek Helio P35 (12nm),"Octa core, up to 2.35 GHz",PowerVR GE8320,1,1
1,2021,5,3,4,3,4.2,64,5000,0,2,15,0,1,2,0,0,PLS IPS Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, up to 2.0 GHz",Adreno 506,0,1
4,2021,40,5,16,4,5.2,128,5000,2160,6,25,68,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
1,2020,8,2,3,3,4.2,32,4000,0,3,0,0,1,2,0,0,PLS IPS Touchscreen,0,Mediatek Helio P22 (12 nm),"Octa core, up to 2.0 GHz",PowerVR GE8320,1,1
4,2020,10,3,12,4,5,128,4500,2160,6,25,68,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
0,2015,240,3,32,1,2.1,16,1200,320,1,0,0,0,2,0,0,TFT,1,,,,0,0
0,2014,128,1,4,1,4,16,2000,0,1,0,0,0,2,0,0,TFT,1,,,,0,0
0,2015,128,4,16,1,2.1,16,1000,176,1,0,0,0,2,0,0,TFT,1,,,,0,0
0,2020,5,3,2,3,5,16,3000,0,1,0,0,0,2,0,0,PLS TFT Touchscreen,0,Mediatek MT6739 (28 nm),"Quad-core, up to 1.5 GHz",PowerVR GE8100,0,1
1,2020,20,2,6,3,5,64,6000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
1,2020,32,3,6,3,5,64,6000,2160,5,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4,2021,10,6,8,4,5,128,4800,2160,6,25,68,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
2,2020,32,2,8,3,5,128,7000,1080,5,25,0,1,2,1,1,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730G (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
4,2020,10,3,8,3,5,256,4300,2160,6,25,68,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
1,2020,5,2,3,3,4.2,32,4000,0,2,0,0,1,2,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
4,2020,32,6,8,3,5,128,4500,2160,6,25,68,1,3.2,1,1,Super AMOLED Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
1,2020,8,3,4,3,4.2,32,5000,1080,3,15,0,1,2,1,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, up to 1.8 GHz",Adreno 506,1,1
1,2020,20,4,6,3,5,64,5000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,MediaTek Helio P65 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
4,2020,40,2,16,4,5,128,5000,2160,5,45,68,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
3,2020,32,3,8,3,5,128,4500,1080,6,25,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.7 GHz",Mali-G72 MP18,1,1
2,2019,32,5,8,3,5,128,4500,1080,5,25,0,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
2,2019,32,5,6,3,5,64,4000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4,2020,10,3,12,4,5,256,4500,2160,6,25,0,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,0,Qualcomm Snapdragon 865+ (7 nm+),"Octa core, up to 3.09 GHz",Adreno 650,1,1
1,2020,13,4,6,3,5,32,5000,1080,5,15,0,1,2,1,0,PLS TFT Touchscreen,0,Exynos 850 (8 nm),"Octa core, up to 2.2 GHz",Mali-G52,1,1
4,2020,10,3,8,3,5,256,3300,2160,6,15,0,1,3.1,1,1,Dynamic AMOLED Foldable Touchscreen,1,Qualcomm Snapdragon 855+ (7 nm),"Octa core, up to 2.95 GHz",Adreno 640,1,1
0,2020,5,3,2,3,4.2,16,3000,0,2,0,0,1,2,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
